,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls-90,Ast-90,G+A-90,G-PK-90,G+A-PK,xG-90,xAG-90,xG+xAG,npxG-90,npxG+xAG-90
2042,Ben Parkinson,eng ENG,FW,Newcastle Utd,eng Premier League,18,2005,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2043,Thomas Partey,gh GHA,"MF,DF",Arsenal,eng Premier League,30,1993,14,9,788,8.8,0,0,0,0,0,0,3,0,0.4,0.4,0.3,0.7,15,72,10,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08
2044,Mario Pašalić,hr CRO,MF,Atalanta,it Serie A,28,1995,34,23,2051,22.8,6,6,12,4,2,2,3,0,7.1,5.5,4.1,9.6,48,129,74,0.26,0.26,0.53,0.18,0.44,0.31,0.18,0.49,0.24,0.42
2045,Triantafyllos Pasaridīs,gr GRE,DF,Salernitana,it Serie A,27,1996,8,5,452,5.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,1,17,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
2046,Pascu,es ESP,FW,Villarreal,es La Liga,20,2003,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2047,Felix Passlack,de GER,DF,Bochum,de Bundesliga,25,1998,15,13,960,10.7,2,2,4,2,0,0,2,1,0.9,0.9,1.2,2.1,10,27,42,0.19,0.19,0.37,0.19,0.37,0.08,0.11,0.20,0.08,0.20
2048,Patric,es ESP,DF,Lazio,it Serie A,30,1993,20,19,1608,17.9,2,0,2,2,0,0,4,0,1.4,1.4,0.2,1.5,3,72,12,0.11,0.00,0.11,0.11,0.11,0.08,0.01,0.09,0.08,0.09
2049,Rui Patrício,pt POR,GK,Roma,it Serie A,35,1988,23,23,2070,23.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2050,Nathan Patterson,sct SCO,DF,Everton,eng Premier League,21,2001,20,9,1005,11.2,0,2,2,0,0,0,4,0,0.3,0.3,1.7,2.0,17,38,39,0.00,0.18,0.18,0.00,0.18,0.03,0.15,0.18,0.03,0.18
2051,Gabriel Paulista,br BRA,DF,Atlético Madrid,es La Liga,32,1990,5,5,405,4.5,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,1,7,0,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06
2052,Gabriel Paulista,br BRA,DF,Valencia,es La Liga,32,1990,18,16,1398,15.5,0,0,0,0,0,0,6,1,0.4,0.4,0.2,0.6,2,33,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.02,0.04
2053,Benjamin Pavard,fr FRA,DF,Inter,it Serie A,27,1996,23,21,1672,18.6,0,2,2,0,0,0,6,0,0.7,0.7,1.4,2.1,25,89,47,0.00,0.11,0.11,0.00,0.11,0.04,0.07,0.11,0.04,0.11
2054,Jiří Pavlenka,cz CZE,GK,Werder Bremen,de Bundesliga,31,1992,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2055,Aleksandar Pavlovic,de GER,MF,Bayern Munich,de Bundesliga,19,2004,19,14,1227,13.6,2,2,4,2,0,0,6,0,1.2,1.2,1.0,2.2,14,105,14,0.15,0.15,0.29,0.15,0.29,0.09,0.07,0.16,0.09,0.16
2056,Leonardo Pavoletti,it ITA,FW,Cagliari,it Serie A,34,1988,19,5,628,7.0,4,1,5,4,0,0,4,0,2.6,2.6,0.3,2.9,1,16,40,0.57,0.14,0.72,0.57,0.72,0.37,0.04,0.41,0.37,0.41
2057,Martín Payero,ar ARG,MF,Udinese,it Serie A,24,1998,29,21,1796,20.0,2,2,4,2,0,0,6,1,1.5,1.5,1.1,2.6,47,71,64,0.10,0.10,0.20,0.10,0.20,0.08,0.06,0.13,0.08,0.13
2058,Nicolás Paz,ar ARG,"MF,FW",Real Madrid,es La Liga,18,2004,4,0,23,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,6,2,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.31,0.31,0.31
2059,Myles Peart-Harris,eng ENG,"DF,MF",Brentford,eng Premier League,20,2002,3,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.12
2060,Sydie Peck,eng ENG,MF,Sheffield Utd,eng Premier League,18,2004,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2061,Mads Pedersen,dk DEN,DF,Augsburg,de Bundesliga,26,1996,27,19,1786,19.8,1,1,2,1,0,0,5,1,0.8,0.8,1.5,2.3,56,66,79,0.05,0.05,0.10,0.05,0.10,0.04,0.07,0.12,0.04,0.12
2062,Marcus Pedersen,no NOR,DF,Sassuolo,it Serie A,23,2000,28,16,1613,17.9,0,2,2,0,0,0,4,0,0.1,0.1,1.1,1.2,43,31,90,0.00,0.11,0.11,0.00,0.11,0.01,0.06,0.06,0.01,0.06
2063,Alfonso Pedraza,es ESP,DF,Villarreal,es La Liga,27,1996,19,14,1116,12.4,1,3,4,1,0,0,4,1,0.6,0.6,3.6,4.2,56,31,97,0.08,0.24,0.32,0.08,0.32,0.05,0.29,0.34,0.05,0.34
2064,Pedri,es ESP,"MF,FW",Barcelona,es La Liga,20,2002,24,16,1476,16.4,4,2,6,4,0,0,3,0,3.1,3.1,4.2,7.3,41,136,81,0.24,0.12,0.37,0.24,0.37,0.19,0.25,0.44,0.19,0.44
2065,Pedro,es ESP,"FW,MF",Lazio,it Serie A,36,1987,33,5,816,9.1,1,1,2,1,0,0,4,0,1.5,1.5,2.1,3.6,31,33,81,0.11,0.11,0.22,0.11,0.22,0.17,0.23,0.39,0.17,0.39
2066,Adrià Pedrosa,es ESP,DF,Sevilla,es La Liga,25,1998,31,15,1753,19.5,1,4,5,1,0,0,1,0,0.7,0.7,3.2,3.9,46,61,109,0.05,0.21,0.26,0.05,0.26,0.04,0.16,0.20,0.04,0.20
2067,Jordan Pefok,us USA,FW,Gladbach,de Bundesliga,27,1996,25,18,1420,15.8,5,3,8,5,0,0,2,0,6.5,6.5,2.5,8.9,5,22,73,0.32,0.19,0.51,0.32,0.51,0.41,0.16,0.57,0.41,0.57
2068,Jordan Pefok,us USA,FW,Union Berlin,de Bundesliga,27,1996,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.00,0.40
2069,Dženan Pejčinović,de GER,FW,Wolfsburg,de Bundesliga,18,2005,4,0,37,0.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.3,1,0,2,0.00,0.00,0.00,0.00,0.00,0.29,0.34,0.63,0.29,0.63
2070,Pietro Pellegri,it ITA,FW,Torino,it Serie A,22,2001,24,7,756,8.4,1,1,2,1,0,0,3,0,1.0,1.0,0.3,1.4,14,8,52,0.12,0.12,0.24,0.12,0.24,0.12,0.04,0.16,0.12,0.16
2071,Lorenzo Pellegrini,it ITA,MF,Roma,it Serie A,27,1996,29,20,1859,20.7,8,3,11,7,1,1,7,0,4.8,4.0,2.4,6.4,43,94,97,0.39,0.15,0.53,0.34,0.48,0.23,0.12,0.35,0.19,0.31
2072,Luca Pellegrini,it ITA,DF,Lazio,it Serie A,24,1999,19,8,786,8.7,1,0,1,1,0,0,7,1,0.2,0.2,0.3,0.5,18,46,30,0.11,0.00,0.11,0.11,0.11,0.03,0.03,0.06,0.03,0.06
2073,Marco Pellegrino,,DF,Salernitana,it Serie A,,,10,5,545,6.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,0,7,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01
2074,Marco Pellegrino,,DF,Milan,it Serie A,,,1,0,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
2075,Facundo Pellistri,uy URU,"FW,MF",Manchester Utd,eng Premier League,21,2001,9,1,172,1.9,0,1,1,0,0,0,0,0,0.7,0.7,0.1,0.8,6,6,31,0.00,0.52,0.52,0.00,0.52,0.38,0.05,0.43,0.38,0.43
2076,Facundo Pellistri,uy URU,"MF,FW",Granada,es La Liga,21,2001,15,14,1232,13.7,2,1,3,2,0,0,2,1,2.5,2.5,1.2,3.7,33,22,96,0.15,0.07,0.22,0.15,0.22,0.18,0.09,0.27,0.18,0.27
2077,Andy Pelmard,fr FRA,DF,Clermont Foot,fr Ligue 1,23,2000,34,33,2989,33.2,0,0,0,0,0,0,1,0,0.3,0.3,0.6,1.0,39,120,7,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
2078,Aurélien Pelon,fr FRA,DF,Lorient,fr Ligue 1,19,2004,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2079,Faris Pemi Moumbagna,cm CMR,FW,Marseille,fr Ligue 1,23,2000,13,5,547,6.1,3,1,4,3,0,0,2,1,1.7,1.7,1.1,2.8,6,16,32,0.49,0.16,0.66,0.49,0.66,0.28,0.18,0.47,0.28,0.47
2080,Iñaki Peña,es ESP,GK,Barcelona,es La Liga,24,1999,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2081,Marcos Peña,es ESP,MF,Almería,es La Liga,18,2005,7,4,441,4.9,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,0,10,0,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.04,0.04,0.04
2082,Rubén Peña,es ESP,"DF,FW",Osasuna,es La Liga,32,1991,29,26,2088,23.2,0,2,2,0,0,0,3,0,0.9,0.9,2.6,3.5,62,78,147,0.00,0.09,0.09,0.00,0.09,0.04,0.11,0.15,0.04,0.15
2083,Pepín,gq EQG,"MF,FW",Monza,it Serie A,26,1996,10,2,241,2.7,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.2,1,13,12,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08
2084,Alberto Perea,es ESP,"MF,FW",Granada,es La Liga,32,1990,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,4.87,4.87,0.00,4.87
2085,Andreas Pereira,br BRA,MF,Fulham,eng Premier League,27,1996,37,34,2613,29.0,3,7,10,3,0,0,6,0,4.6,4.6,7.1,11.7,56,138,125,0.10,0.24,0.34,0.10,0.34,0.16,0.24,0.40,0.16,0.40
2086,Danilo Pereira,pt POR,DF,Paris S-G,fr Ligue 1,31,1991,26,22,1995,22.2,0,0,0,0,0,0,2,0,1.4,1.4,0.0,1.4,28,148,2,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
2087,Mathias Pereira Lage,pt POR,"FW,MF",Brest,fr Ligue 1,26,1996,30,12,1187,13.2,3,2,5,3,0,0,3,0,3.5,3.5,1.7,5.2,19,23,95,0.23,0.15,0.38,0.23,0.38,0.27,0.13,0.40,0.27,0.40
2088,Pedro Pereira,pt POR,DF,Monza,it Serie A,25,1998,23,9,841,9.3,0,2,2,0,0,0,3,0,0.2,0.2,1.2,1.4,20,43,69,0.00,0.21,0.21,0.00,0.21,0.02,0.12,0.14,0.02,0.14
2089,Daniel Peretz,il ISR,GK,Bayern Munich,de Bundesliga,23,2000,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2090,Roberto Pereyra,ar ARG,"FW,MF",Udinese,it Serie A,32,1991,27,22,1858,20.6,4,3,7,3,1,1,6,0,3.5,2.7,1.9,4.7,39,70,82,0.19,0.15,0.34,0.15,0.29,0.17,0.09,0.27,0.13,0.23
2091,Ayoze Pérez,es ESP,FW,Betis,es La Liga,30,1993,31,29,2294,25.5,9,1,10,9,0,0,4,0,7.4,7.4,3.9,11.3,90,80,175,0.35,0.04,0.39,0.35,0.39,0.29,0.15,0.44,0.29,0.44
2092,Carles Pérez,es ESP,"MF,DF",Celta Vigo,es La Liga,25,1998,16,7,772,8.6,1,1,2,1,0,0,3,0,1.2,1.2,1.3,2.4,34,18,66,0.12,0.12,0.23,0.12,0.23,0.14,0.15,0.28,0.14,0.28
2093,Francisco Perez,es ESP,"MF,FW",Valencia,es La Liga,20,2002,32,27,2049,22.8,1,4,5,1,0,0,4,0,1.1,1.1,2.6,3.6,59,41,145,0.04,0.18,0.22,0.04,0.22,0.05,0.11,0.16,0.05,0.16
2094,Kike Pérez,es ESP,"MF,FW",Rayo Vallecano,es La Liga,26,1997,24,9,835,9.3,1,0,1,1,0,0,7,0,1.9,1.9,0.6,2.4,17,47,42,0.11,0.00,0.11,0.11,0.11,0.20,0.06,0.26,0.20,0.26
2095,Nehuén Pérez,ar ARG,DF,Udinese,it Serie A,23,2000,36,36,3238,36.0,0,0,0,0,0,0,9,1,1.3,1.3,0.2,1.5,28,119,24,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
2096,Matteo Perez Vinlöf,se SWE,FW,Bayern Munich,de Bundesliga,17,2005,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2097,Simone Perilli,it ITA,GK,Hellas Verona,it Serie A,28,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2098,Mattia Perin,it ITA,GK,Juventus,it Serie A,30,1992,3,3,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2099,Samuele Perisan,it ITA,GK,Empoli,it Serie A,25,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2100,Ivan Perišić,hr CRO,FW,Tottenham,eng Premier League,34,1989,5,0,103,1.1,0,1,1,0,0,0,2,0,0.1,0.1,0.9,1.0,15,9,17,0.00,0.87,0.87,0.00,0.87,0.10,0.75,0.85,0.10,0.85
2101,Romain Perraud,fr FRA,"DF,FW",Nice,fr Ligue 1,25,1997,19,2,370,4.1,0,1,1,0,0,0,2,0,0.0,0.0,0.9,1.0,6,11,13,0.00,0.24,0.24,0.00,0.24,0.01,0.23,0.24,0.01,0.24
2102,Lucas Perrin,fr FRA,DF,Strasbourg,fr Ligue 1,24,1998,31,30,2723,30.3,0,1,1,0,0,0,3,0,0.6,0.6,0.8,1.4,17,115,8,0.00,0.03,0.03,0.00,0.03,0.02,0.03,0.05,0.02,0.05
2103,Máximo Perrone,ar ARG,MF,Las Palmas,es La Liga,20,2003,29,20,1623,18.0,0,0,0,0,0,0,6,0,0.2,0.2,0.5,0.8,12,78,22,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
2104,Pavao Pervan,at AUT,GK,Wolfsburg,de Bundesliga,35,1987,9,9,810,9.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2105,Matteo Pessina,it ITA,MF,Monza,it Serie A,26,1997,37,37,3222,35.8,6,3,9,2,4,5,5,1,6.3,2.4,1.1,3.5,69,190,53,0.17,0.08,0.25,0.06,0.14,0.18,0.03,0.21,0.07,0.10
2106,Andrea Petagna,it ITA,FW,Cagliari,it Serie A,28,1995,18,13,995,11.1,1,1,2,1,0,0,2,0,1.6,1.6,1.0,2.6,11,14,56,0.09,0.09,0.18,0.09,0.18,0.15,0.09,0.23,0.15,0.23
2107,Denis Petrić,rs SRB,GK,Nantes,fr Ligue 1,35,1988,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2108,Njegoš Petrović,rs SRB,"MF,FW",Granada,es La Liga,24,1999,10,0,157,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,8,3,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08
2109,Đorđe Petrović,rs SRB,GK,Chelsea,eng Premier League,23,1999,23,22,1987,22.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2110,Jens Petter Hauge,no NOR,"MF,FW",Eint Frankfurt,de Bundesliga,23,1999,10,0,147,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,7,6,15,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09
2111,Germán Pezzella,ar ARG,DF,Betis,es La Liga,32,1991,32,32,2767,30.7,1,0,1,1,0,0,7,0,2.0,2.0,0.3,2.3,5,64,1,0.03,0.00,0.03,0.03,0.03,0.07,0.01,0.08,0.07,0.08
2112,Giuseppe Pezzella,it ITA,DF,Empoli,it Serie A,25,1997,19,14,1085,12.1,0,0,0,0,0,0,4,0,0.2,0.2,0.5,0.6,44,44,36,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05
2113,Luca Pfeiffer,de GER,"FW,MF",Darmstadt 98,de Bundesliga,26,1996,24,20,1619,18.0,1,4,5,1,0,0,3,0,4.6,4.6,1.7,6.3,15,37,81,0.06,0.22,0.28,0.06,0.28,0.26,0.09,0.35,0.26,0.35
2114,Patric Pfeiffer,de GER,DF,Augsburg,de Bundesliga,23,1999,11,4,511,5.7,0,1,1,0,0,0,0,0,0.5,0.5,0.8,1.3,1,19,4,0.00,0.18,0.18,0.00,0.18,0.09,0.14,0.22,0.09,0.22
2115,Maximilian Philipp,de GER,"FW,MF",Freiburg,de Bundesliga,29,1994,17,1,323,3.6,1,0,1,1,0,0,2,0,0.5,0.5,0.4,0.9,3,6,28,0.28,0.00,0.28,0.28,0.28,0.14,0.11,0.25,0.14,0.25
2116,Kalvin Phillips,eng ENG,MF,West Ham,eng Premier League,27,1995,8,3,309,3.4,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.1,3,19,4,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
2117,Kalvin Phillips,eng ENG,MF,Manchester City,eng Premier League,27,1995,4,0,93,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,7,7,3,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
2118,Jaden Philogene Bidace,eng ENG,FW,Aston Villa,eng Premier League,21,2002,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2119,Kamil Piątkowski,pl POL,DF,Granada,es La Liga,23,2000,9,6,505,5.6,0,0,0,0,0,0,1,1,0.8,0.8,0.1,0.9,2,10,0,0.00,0.00,0.00,0.00,0.00,0.14,0.02,0.17,0.14,0.17
2120,Roberto Piccoli,it ITA,FW,Empoli,it Serie A,22,2001,2,0,39,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12
2121,Roberto Piccoli,it ITA,FW,Lecce,it Serie A,22,2001,35,12,1378,15.3,5,0,5,4,1,1,5,0,6.4,5.6,0.9,6.5,25,19,72,0.33,0.00,0.33,0.26,0.26,0.42,0.06,0.48,0.37,0.43
2122,Florian Pick,de GER,"MF,FW",Heidenheim,de Bundesliga,27,1995,22,1,327,3.6,0,1,1,0,0,0,2,0,0.3,0.3,0.8,1.1,12,12,34,0.00,0.28,0.28,0.00,0.28,0.08,0.21,0.29,0.08,0.29
2123,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,29,1994,38,38,3420,38.0,0,0,0,0,0,0,5,0,0.0,0.0,0.1,0.1,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2124,Amos Pieper,de GER,DF,Werder Bremen,de Bundesliga,25,1998,7,7,590,6.6,0,0,0,0,0,0,0,0,0.5,0.5,0.8,1.2,3,24,3,0.00,0.00,0.00,0.00,0.00,0.07,0.12,0.19,0.07,0.19
2125,Marvin Pieringer,de GER,"MF,FW",Heidenheim,de Bundesliga,23,1999,31,18,1513,16.8,3,3,6,3,0,0,5,0,2.3,2.3,2.1,4.4,28,41,72,0.18,0.18,0.36,0.18,0.36,0.14,0.13,0.26,0.14,0.26
2126,Santiago Pierotti,ar ARG,"MF,FW",Lecce,it Serie A,22,2001,11,0,200,2.2,0,2,2,0,0,0,0,0,0.5,0.5,1.0,1.5,4,5,20,0.00,0.90,0.90,0.00,0.90,0.22,0.47,0.69,0.22,0.69
2127,Niccolò Pierozzi,it ITA,DF,Salernitana,it Serie A,21,2001,12,11,871,9.7,1,0,1,1,0,0,6,0,0.2,0.2,0.0,0.3,3,16,20,0.10,0.00,0.10,0.10,0.10,0.03,0.01,0.03,0.03,0.03
2128,Ronaël Pierre-Gabriel,fr FRA,DF,Nantes,fr Ligue 1,25,1998,12,6,598,6.6,0,0,0,0,0,0,3,0,0.3,0.3,0.8,1.2,12,17,12,0.00,0.00,0.00,0.00,0.00,0.05,0.12,0.17,0.05,0.17
2129,Andrea Pinamonti,it ITA,FW,Sassuolo,it Serie A,24,1999,38,37,3076,34.2,11,1,12,9,2,3,4,0,8.9,6.6,1.9,8.4,17,45,165,0.32,0.03,0.35,0.26,0.29,0.26,0.05,0.32,0.19,0.25
2130,Ethan Pinnock,jm JAM,DF,Brentford,eng Premier League,30,1993,29,28,2521,28.0,2,0,2,2,0,0,1,0,2.0,2.0,1.0,3.0,11,61,16,0.07,0.00,0.07,0.07,0.07,0.07,0.04,0.11,0.07,0.11
2131,Yeremi Pino,es ESP,"MF,FW",Villarreal,es La Liga,20,2002,7,7,475,5.3,0,0,0,0,0,0,4,0,1.4,1.4,0.2,1.7,11,10,49,0.00,0.00,0.00,0.00,0.00,0.27,0.05,0.31,0.27,0.31
2132,Carlo Pinsoglio,it ITA,GK,Juventus,it Serie A,33,1990,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2133,Lorenzo Pirola,it ITA,DF,Salernitana,it Serie A,21,2002,27,24,1987,22.1,1,0,1,1,0,0,4,0,0.9,0.9,0.0,0.9,13,57,7,0.05,0.00,0.05,0.05,0.05,0.04,0.00,0.04,0.04,0.04
2134,Niccolò Pisilli,it ITA,MF,Roma,it Serie A,18,2004,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2135,Alassane Pléa,fr FRA,"FW,MF",Gladbach,de Bundesliga,30,1993,27,24,1913,21.3,7,4,11,6,1,1,1,0,7.0,6.2,4.0,10.2,56,115,157,0.33,0.19,0.52,0.28,0.47,0.33,0.19,0.52,0.29,0.48
2136,Tommaso Pobega,it ITA,MF,Milan,it Serie A,24,1999,11,3,319,3.5,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,6,11,10,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.12,0.06,0.12
2137,Paul Pogba,fr FRA,MF,Juventus,it Serie A,30,1993,2,0,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,5,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
2138,Ole Pohlmann,de GER,MF,Dortmund,de Bundesliga,22,2001,2,0,54,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,4,0.00,0.00,0.00,0.00,0.00,0.09,0.10,0.19,0.09,0.19
2139,Matteo Politano,it ITA,FW,Napoli,it Serie A,29,1993,37,31,2360,26.2,8,7,15,6,2,3,2,1,7.1,4.8,6.6,11.4,113,164,216,0.31,0.27,0.57,0.23,0.50,0.27,0.25,0.52,0.18,0.43
2140,Sebastian Polter,de GER,FW,Darmstadt 98,de Bundesliga,32,1991,9,4,446,5.0,0,1,1,0,0,0,0,0,1.0,1.0,0.6,1.5,5,13,26,0.00,0.20,0.20,0.00,0.20,0.20,0.11,0.31,0.20,0.31
2141,Julien Ponceau,fr FRA,MF,Lorient,fr Ligue 1,22,2000,32,27,2244,24.9,3,2,5,3,0,0,5,0,3.3,3.3,2.7,6.0,106,154,152,0.12,0.08,0.20,0.12,0.20,0.13,0.11,0.24,0.13,0.24
2142,Marin Pongračić,hr CRO,DF,Lecce,it Serie A,25,1997,36,36,3219,35.8,0,0,0,0,0,0,10,1,1.2,1.2,0.4,1.5,45,134,7,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
2143,Nick Pope,eng ENG,GK,Newcastle Utd,eng Premier League,31,1992,15,15,1345,14.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2144,Pedro Porro,es ESP,DF,Tottenham,eng Premier League,23,1999,35,35,3089,34.3,3,7,10,3,0,0,3,0,2.9,2.9,7.2,10.1,57,194,158,0.09,0.20,0.29,0.09,0.29,0.09,0.21,0.30,0.09,0.30
2145,Portu,es ESP,FW,Getafe,es La Liga,31,1992,3,0,97,1.1,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.3,3,3,3,0.00,0.00,0.00,0.00,0.00,0.15,0.14,0.29,0.15,0.29
2146,Portu,es ESP,"MF,FW",Girona,es La Liga,31,1992,33,11,1188,13.2,7,5,12,7,0,0,3,0,3.4,3.4,3.5,6.8,32,32,96,0.53,0.38,0.91,0.53,0.91,0.26,0.26,0.52,0.26,0.52
2147,Stefan Posch,at AUT,DF,Bologna,it Serie A,26,1997,31,29,2409,26.8,1,2,3,1,0,0,7,0,1.2,1.2,2.1,3.3,44,123,64,0.04,0.07,0.11,0.04,0.11,0.04,0.08,0.12,0.04,0.12
2148,Yussuf Poulsen,dk DEN,FW,RB Leipzig,de Bundesliga,29,1994,28,12,1217,13.5,5,2,7,5,0,0,0,0,5.7,5.7,1.0,6.8,11,16,78,0.37,0.15,0.52,0.37,0.52,0.43,0.08,0.50,0.43,0.50
2149,José Pozo,es ESP,MF,Rayo Vallecano,es La Liga,27,1996,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
